Country,Question ID,Response,Justification,Supporting0,Supporting1,Supporting2,Supporting4
Argentina,ODB.2013.D10.h,0,,"It is highly likely that the data collection is sustainable, but not its publication.",,,
Argentina,ODB.2013.D10.i,1,,,,,
Argentina,ODB.2013.D10.j,0,,,,,
Argentina,ODB.2013.D11.c,0,,,pdf,Reports in PDF,
Argentina,ODB.2013.D11.d,0,,http://www.deis.gov.ar/publicaciones/archivos/indicadores_2013.pdf,Inside reports in PDF,,
Argentina,ODB.2013.D11.e,1,,,,,
Argentina,ODB.2013.D11.f,0,,No license found,,,
Argentina,ODB.2013.D11.g,1,,2013,9/29/2014,"unknown, but most likely yearly.",
Argentina,ODB.2013.D11.h,1,,,,,
Argentina,ODB.2013.D11.j,0,,,,,
Argentina,ODB.2013.D11.i,1,,,,,
Argentina,ODB.2013.D12.c,1,,"Students per level, section and province: http://www.indec.mecon.ar/desaweb/ftp/cuadros/sociedad/f030101.xls
Indicators: http://datospublicos.gov.ar/data/dataset/indicadores-de-educacion","xls,spss,csv",,
Argentina,ODB.2013.D12.d,1,,"Students per level, section and province: http://www.indec.mecon.ar/desaweb/ftp/cuadros/sociedad/f030101.xls
Indicators: http://datospublicos.gov.ar/data/dataset/indicadores-de-educacion",,,
Argentina,ODB.2013.D12.e,1,,,,,
Argentina,ODB.2013.D12.f,1,,"Depending on who publishes, in the case of the Argentinian Portla they release data using ODbL license, while others do not provide licensing information.",,,
Argentina,ODB.2013.D12.g,0,,"2011, 2009 and in few cases, 2013",9/29/2014,unknown,
Argentina,ODB.2013.D12.h,1,,"More likely the collection of the data, not its publication.",,,
Argentina,ODB.2013.D12.i,1,,,,,
Argentina,ODB.2013.D12.j,0,,,,,
Argentina,ODB.2013.D13.e,1,,,,,
Argentina,ODB.2013.D13.d,0,,,,,
Argentina,ODB.2013.D13.c,0,,,,,
Argentina,ODB.2013.D13.f,0,,It was not possible to find licensing information for most of the datasets.,,,
Argentina,ODB.2013.D13.g,0,,"2012
The victimization report done by the Torcuato Di Tella University has data up to July 2014 (1).

(1) http://www.utdt.edu/download.php?fname=_140795613546133200.pdf",9/29/2014,,
Argentina,ODB.2013.D13.h,1,,"The collection process may be sustainable, not the publishing process.",,,
Argentina,ODB.2013.D13.j,0,,,,,
Argentina,ODB.2013.D13.i,1,,,,,
Argentina,ODB.2013.D14.c,0,,,,No updated data was available in machine-readable format. Some outdated data was available in Excel.,
Argentina,ODB.2013.D14.d,0,,,,,
Argentina,ODB.2013.D14.e,1,,,,,
Argentina,ODB.2013.D14.f,0,,Most of the data did not specified a license.,,,
Argentina,ODB.2013.D14.g,0,,9/1/2014,9/29/2014,irregular,
Argentina,ODB.2013.D14.h,0,,,,,
Argentina,ODB.2013.D14.i,1,,,,,
